id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:25008547877,25008547877,Bramex Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:66006582921,66006582921,Intech Strategies P/L,2019-11-01,
urn:lobbyists.ag.gov.au:49090692014,49090692014,Discourse Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:40003842126,40003842126,Jenkins Engineering defence Systems Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:45631309923,45631309923,Eloquium Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:52159456685,52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,2019-11-01,
urn:lobbyists.ag.gov.au:33136520548,33136520548,SAS Consulting Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:47117012549,47117012549,RIPNEY PTY LTD,2019-11-01,
urn:lobbyists.ag.gov.au:51069838222,51069838222,The Fifth Estate Consultancy Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:45079232116,45079232116,Australian Spectrum Consultants Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:31267269201,31267269201,The Trustee for the Bowden Family Trust,2019-11-01,
urn:lobbyists.ag.gov.au:54110321090,54110321090,Cube Public Relations Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:12075550971,12075550971,Five Corners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:75153860407,75153860407,bnj consultants pty ltd,2019-11-01,
urn:lobbyists.ag.gov.au:86615732182,86615732182,Capetal Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:39129451716,39129451716,Font Public Relations Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:39129451716,39129451716,Font Public Relations Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:23630677673,23630677673,TG Endeavour Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:94064357544,94064357544,CPR Communications & Public Relations Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:70543558011,70543558011,Brent William Knevett,2019-11-01,
urn:lobbyists.ag.gov.au:83615178571,83615178571,Lunik Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:84150667486,84150667486,LOPAC Consulting Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,71595434578,PRX Unit Trust,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:14625954912,14625954912,Kurrajong Strategic Counsel,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:69005120409,69005120409,Vicom Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:32609795476,32609795476,Rainman Investments P/L ATF Bruce & Jennifer Harwood Discretionary Trust,2019-11-01,
urn:lobbyists.ag.gov.au:52159456685,52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,2019-11-01,
urn:lobbyists.ag.gov.au:91631938317,91631938317,Wells OCallaghan Watterson Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:27613857668,27613857668,Next Level Strategic Services Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:46071979461,46071979461,FTI Consulting (Perth) Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:34065114187,34065114187,CETE Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:93156511607,93156511607,C2hills Investments Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:99003613134,99003613134,Covance Pty Ltd (Covance Market Access Services division),2019-11-01,
urn:lobbyists.ag.gov.au:27143938523,27143938523,Policy Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:45631309923,45631309923,Eloquium Group Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:14616647628,14616647628,Cahill and Bailey Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:58101934454,58101934454,Crosby Textor Research Strategies Results Pty Ltd,2019-11-01,
