name,id
Leader of the Opposition
Manager of Opposition Business
Deputy Manager of Opposition Business
Deputy Manager of Opposition Business
Chief Nationals Whip
Government Whip
Chief Opposition Whip
Deputy Speaker
Deputy Leader of the Opposition
Leader of the Nationals
Second Deputy Speaker
Deputy Nationals Whip
Government Whip
Opposition Whip
Speaker
Opposition Whip
Chief Government Whip
Governer General
// Source from APH Members List
