number,id,CODE,name,province,state,long,lat,dc,type,lastUpdate,sa3,sa3name,sa4,sa4name,region
255,urn:australiapost.com.au:postcode:812_NORTHLAKES,812,NORTHLAKES,urn:iso:std:iso:3166:-2:AU-NT,NT,130.916098,-12.404778,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
256,urn:australiapost.com.au:postcode:812_SANDERSON,812,SANDERSON,urn:iso:std:iso:3166:-2:AU-NT,NT,130.916098,-12.404778,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
257,urn:australiapost.com.au:postcode:812_WOODLEIGHGARDENS,812,WOODLEIGH GARDENS,urn:iso:std:iso:3166:-2:AU-NT,NT,130.916098,-12.404778,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
258,urn:australiapost.com.au:postcode:812_WULAGI,812,WULAGI,urn:iso:std:iso:3166:-2:AU-NT,NT,130.916098,-12.404778,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
259,urn:australiapost.com.au:postcode:813_SANDERSON,813,SANDERSON,urn:iso:std:iso:3166:-2:AU-NT,NT,130.916098,-12.404778,,,2020-03-25,70102,Darwin Suburbs,701,Darwin,R1
260,urn:australiapost.com.au:postcode:814_NIGHTCLIFF,814,NIGHTCLIFF,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-03-25,70102,Darwin Suburbs,701,Darwin,R1
261,urn:australiapost.com.au:postcode:815_CHARLESDARWINUNIVERSITY,815,CHARLES DARWIN UNIVERSITY,urn:iso:std:iso:3166:-2:AU-NT,NT,0,0,,,2020-03-25,70102,Darwin Suburbs,701,Darwin,R1
262,urn:australiapost.com.au:postcode:820_BAGOT,820,BAGOT,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
263,urn:australiapost.com.au:postcode:820_BAYVIEW,820,BAYVIEW,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
264,urn:australiapost.com.au:postcode:820_CHARLESDARWIN,820,CHARLES DARWIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
265,urn:australiapost.com.au:postcode:820_COONAWARRA,820,COONAWARRA,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
