lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:55600755137,represents,urn:abr.business.gov.au:98065814315,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:27627838215,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:41052527634,2019-11-01,
urn:lobbyists.ag.gov.au:59160523384,represents,urn:abr.business.gov.au:20947496918,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:89004265150,2019-11-01,
urn:lobbyists.ag.gov.au:29626157015,represents,urn:abr.business.gov.au:13383369929,2019-11-01,
urn:lobbyists.ag.gov.au:34628814728,represents,urn:abr.business.gov.au:59141480284,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:36068572556,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:70077897440,2019-11-01,
urn:lobbyists.ag.gov.au:24613884763,represents,urn:abr.business.gov.au:89123563208,2019-11-01,
urn:lobbyists.ag.gov.au:56136912260,represents,urn:abr.business.gov.au:24622283130,2019-11-01,
urn:lobbyists.ag.gov.au:17148998645,represents,urn:abr.business.gov.au:56812683925,2019-11-01,
urn:lobbyists.ag.gov.au:93156511607,represents,urn:abr.business.gov.au:77336881946,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:22000138714,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,represents,urn:abr.business.gov.au:62629999533,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:16613066541,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:37154478725,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:35154478725,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,represents,urn:abr.business.gov.au:11125461903,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:79133923074,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:67736818084,2019-11-01,
urn:lobbyists.ag.gov.au:27613857668,represents,urn:abr.business.gov.au:80602022435,2019-11-01,
urn:lobbyists.ag.gov.au:45517839200,represents,urn:abr.business.gov.au:15087651143,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:49004028077,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:46008700981,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:70107422631,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,represents,urn:abr.business.gov.au:93615031984,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:63628452399,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:49604167651,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:63169053534,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:81604985533,2019-11-01,
urn:lobbyists.ag.gov.au:91631938317,represents,urn:abr.business.gov.au:72128857394,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,represents,urn:abr.business.gov.au:31137691448,2019-11-01,
urn:lobbyists.ag.gov.au:19672612619,represents,urn:abr.business.gov.au:16000011058,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,represents,urn:abr.business.gov.au:17000028526,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:47114989650,2019-11-01,
urn:lobbyists.ag.gov.au:45833435179,represents,urn:abr.business.gov.au:95065297154,2019-11-01,
urn:lobbyists.ag.gov.au:41317956923,represents,urn:abr.business.gov.au:67133420,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:69000484417,2019-11-01,
urn:lobbyists.ag.gov.au:36617864347,represents,urn:abr.business.gov.au:37492219079,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:24083928045,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:24083928045,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:56450593470,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:35081164347,2019-11-01,
urn:lobbyists.ag.gov.au:91338850428,represents,urn:abr.business.gov.au:34418816353,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:54609196170,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:30609198567,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,represents,urn:abr.business.gov.au:17000032128,2019-11-01,
urn:lobbyists.ag.gov.au:34065114187,represents,urn:abr.business.gov.au:66008642751,2019-11-01,
urn:lobbyists.ag.gov.au:92715851492,represents,urn:abr.business.gov.au:18210132023,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:95005449909,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:97004332469,2019-11-01,
urn:lobbyists.ag.gov.au:25069333400,represents,urn:abr.business.gov.au:74165629783,2019-11-01,
urn:lobbyists.ag.gov.au:90604408826,represents,urn:abr.business.gov.au:42118999771,2019-11-01,
urn:lobbyists.ag.gov.au:58140762689,represents,urn:abr.business.gov.au:17857841823,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,represents,urn:abr.business.gov.au:50084642571,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:47002684737,2019-11-01,
urn:lobbyists.ag.gov.au:26670042472,represents,urn:abr.business.gov.au:70388962804,2019-11-01,
urn:lobbyists.ag.gov.au:17148998645,represents,urn:abr.business.gov.au:18374210672,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:65533218403,2019-11-01,
urn:lobbyists.ag.gov.au:17148998645,represents,urn:abr.business.gov.au:32430819755,2019-11-01,
urn:lobbyists.ag.gov.au:93156511607,represents,urn:abr.business.gov.au:85624324652,2019-11-01,
urn:lobbyists.ag.gov.au:39129451716,represents,urn:abr.business.gov.au:50935329686,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:94606540327,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:11130417088,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:84611331858,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:26126717913,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:14600978103,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:96161705335,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:41687119230,2019-11-01,
urn:lobbyists.ag.gov.au:62621984923,represents,urn:abr.business.gov.au:92003108030,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:50737749394,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:30388680258,2019-11-01,
urn:lobbyists.ag.gov.au:26098280892,represents,urn:abr.business.gov.au:26098280892,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:55082798952,2019-11-01,
urn:lobbyists.ag.gov.au:99153936719,represents,urn:abr.business.gov.au:96930382154,2019-11-01,
urn:lobbyists.ag.gov.au:13075789196,represents,urn:abr.business.gov.au:1-107724,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,represents,urn:abr.business.gov.au:89690832091,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:80713541680,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:97113908044,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:72606370576,2019-11-01,
urn:lobbyists.ag.gov.au:94783827646,represents,urn:abr.business.gov.au:72606370576,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:97124231483,2019-11-01,
urn:lobbyists.ag.gov.au:93634947050,represents,urn:abr.business.gov.au:82167727719,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,represents,urn:abr.business.gov.au:95008068639,2019-11-01,
urn:lobbyists.ag.gov.au:63634916199,represents,urn:abr.business.gov.au:95008068639,2019-11-01,
urn:lobbyists.ag.gov.au:63634916199,represents,urn:abr.business.gov.au:88063956141,2019-11-01,
urn:lobbyists.ag.gov.au:91008657065,represents,urn:abr.business.gov.au:24080378614,2019-11-01,
urn:lobbyists.ag.gov.au:92715851492,represents,urn:abr.business.gov.au:62000172967,2019-11-01,
urn:lobbyists.ag.gov.au:87620657418,represents,urn:abr.business.gov.au:29123822533,2019-11-01,
