internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,WHF,Whitefield Ltd,,,,,,$526.75 M,,
,,CSX,Cleanspace Holdings Ltd,,,,,,$526.04 M,,
,,VGE,Vanguard Ftse Emerging Markets Shares ETF,,,,,,$524.55 M,,
,,STX,Strike Energy Ltd,,,,,,$516.45 M,,
,,AMA,AMA Group Ltd,,,,,,$515.71 M,,
,,EHE,Estia Health Ltd,,,,,,$512.14 M,,
,,VG8,Vgi Partners Asian Investments Ltd,,,,,,$512.03 M,,
-,,PL8,Plato Income Maximiser Ltd,,,,,,$509.84 M,,
,,APL,Antipodes Global Investment Company Ltd,,,,,,$509.43 M,,
,,RDC,Redcape Hotel Group,,,,,,$508.02 M,,
,,COE,Cooper Energy Ltd,,,,,,$505.62 M,,
,,SXY,SENEX Energy Ltd,,,,,,$505.14 M,,
,,OMH,Om Holdings Ltd,,,,,,$502.26 M,,
,,FGX,Future Generation Investment Company Ltd,,,,,,$496.43 M,,
-,,PGG,Partners Group Global Income Fund,,,,,,$495.24 M,,
,,PAI,Platinum Asia Investments Ltd,,,,,,$488.57 M,,
,,AMI,Aurelia Metals Ltd,,,,,,$487.56 M,,
,,FDV,Frontier Digital Ventures Ltd,,,,,,$486.87 M,,
,,VACF,Vanguard Australian Corp Fixed Interest INDEX ETF,,,,,,$484.74 M,,
,,VRT,Virtus Health Ltd,,,,,,$483.95 M,,
,,CRED,Betashares Australian Investment Grade Corporate Bond ETF,,,,,,$480.76 M,,
,,VSO,Vanguard MSCI Australian Small Companies INDEX ETF,,,,,,$477 M,,
-,,IMU,Imugene Ltd,,,,,,$475.81 M,,
,,ABB,Aussie Broadband Ltd,,,,,,$472.04 M,,
,,PPK,PPK Group Ltd,,,,,,$469.3 M,,
,,FSF,Fonterra Shareholders' Fund,,,,,,$468.52 M,,
,,MYS,Mystate Ltd,,,,,,$465.85 M,,
,,ALK,Alkane Resources Ltd,,,,,,$464.4 M,,
-,,BCK,Brockman Mining Ltd,,,,,,$463.96 M,,
,,PWH,PWR Holdings Ltd,,,,,,$459.83 M,,
-,,PYC,PYC Therapeutics Ltd,,,,,,$459.78 M,,
,,TLG,Talga Group Ltd,,,,,,$457.88 M,,
,,AFP,Aft Pharmaceuticals Ltd,,,,,,$456.26 M,,
,,MLD,Maca Ltd,,,,,,$456.18 M,,
,,BTH,Bigtincan Holdings Ltd,,,,,,$441.67 M,,
,,DUB,Dubber Corporation Ltd,,,,,,$439.62 M,,
-,,XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund),,,,,,$438.9 M,,
,,RF1,Regal Investment Fund,,,,,,$437.36 M,,
-,,PMC,Platinum Capital Ltd,,,,,,$437.13 M,,
,,WSP,Whispir Ltd,,,,,,$435.93 M,,
,,MVP,Medical Developments International Ltd,,,,,,$434.71 M,,
,,MCR,Mincor Resources NL,,,,,,$434.02 M,,
-,,CVN,Carnarvon Petroleum Ltd,,,,,,$430.48 M,,
,,GRR,Grange Resources Ltd,,,,,,$428.22 M,,
,,PGF,PM Capital Global Opportunities Fund Ltd,,,,,,$427.03 M,,
,,IRI,Integrated Research Ltd,,,,,,$426.99 M,,
,,AQR,Apn Convenience Retail REIT,,,,,,$425.83 M,,
-,,UNI,Universal Store Holdings Ltd,,,,,,$424.54 M,,
-,,RED,RED 5 Ltd,,,,,,$423.75 M,,
,,ADT,Adriatic Metals Plc,,,,,,$423.41 M,,
,,PCI,Perpetual Credit Income Trust,,,,,,$422.43 M,,
,,MVA,Vaneck Vectors Australian Property ETF,,,,,,$420.02 M,,
,,AVH,Avita Medical Inc,,,,,,$416.88 M,,
,,ADO,Anteotech Ltd,,,,,,$411.43 M,,
-,,GCI,Gryphon Capital Income Trust,,,,,,$410.19 M,,
,,PPS,Praemium Ltd,,,,,,$408.7 M,,
,,HACK,Betashares Global Cybersecurity ETF,,,,,,$408.39 M,,
,,PSQ,Pacific Smiles Group Ltd,,,,,,$403.75 M,,
,,PIC,Perpetual Equity Investment Company Ltd,,,,,,$399.25 M,,
,,VHT,Volpara Health Technologies Ltd,,,,,,$396.61 M,,
,,BLX,Beacon Lighting Group Ltd,,,,,,$396.4 M,,
,,WMI,Wam Microcap Ltd,,,,,,$395.83 M,,
,,EMR,Emerald Resources NL,,,,,,$394.28 M,,
,,IVE,Ishares MSCI Eafe ETF,,,,,,$389.24 M,,
,,LME,"Limeade, Inc",,,,,,$386.76 M,,
,,SGLLV,Ricegrowers Ltd,,,,,,$386.01 M,,
,,ILC,Ishares S&P/ASX 20 ETF,,,,,,$381.22 M,,
,,RAC,Race Oncology Ltd,,,,,,$379.31 M,,
,,BUB,Bubs Australia Ltd,,,,,,$376.86 M,,
,,JRV,Jervois Mining Ltd,,,,,,$372.98 M,,
,,ASG,Autosports Group Ltd,,,,,,$371.85 M,,
,,BKG,Booktopia Group Ltd,,,,,,$370.87 M,,
,,SSR,SSR Mining Inc,,,,,,$367.92 M,,
,,VDGR,Vanguard Diversified Growth INDEX ETF,,,,,,$366 M,,
,,SLC,Superloop Ltd,,,,,,$365.87 M,,
,,4DX,4DMEDICAL Ltd,,,,,,$365.63 M,,
,,DJRE,SPDR Dow Jones Global Real Estate Fund,,,,,,$363.86 M,,
,,MNF,MNF Group Ltd,,,,,,$363.76 M,,
,,CAT,Catapult Group International Ltd,,,,,,$362.78 M,,
,,VDBA,Vanguard Diversified Balanced INDEX ETF,,,,,,$361.52 M,,
,,ARX,Aroa Biosurgery Ltd,,,,,,$360.87 M,,
,,GDX,Vaneck Vectors Gold Miners ETF,,,,,,$360.49 M,,
,,QRI,Qualitas Real Estate Income Fund,,,,,,$358.53 M,,
,,M7T,MACH7 Technologies Ltd,,,,,,$358.1 M,,
,,QAU,Betashares Gold Bullion ETF - Currency Hedged,,,,,,$356.96 M,,
,,UOS,United Overseas Australia Ltd,,,,,,$356.13 M,,
,,CBR,Carbon Revolution Ltd,,,,,,$354.99 M,,
,,TNT,Tesserent Ltd,,,,,,$354.76 M,,
-,,AOF,Australian Unity Office Fund,,,,,,$353.42 M,,
,,PIXX,Platinum International Fund (Quoted Managed Hedge Fund),,,,,,$351 M,,
,,EGR,Ecograf Ltd,,,,,,$349.43 M,,
,,IJP,Ishares MSCI Japan ETF,,,,,,$349.34 M,,
,,MOT,MCP Income Opportunities Trust,,,,,,$344.18 M,,
,,IFRA,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF,,,,,,$344.03 M,,
,,ERD,Eroad Ltd,,,,,,$342.33 M,,
,,WGN,Wagners Holding Company Ltd,,,,,,$337.89 M,,
,,VAE,Vanguard Ftse Asia Ex Japan Shares INDEX ETF,,,,,,$332.78 M,,
,,SO4,Salt Lake Potash Ltd,,,,,,$332.61 M,,
-,,NGI,Navigator Global Investments Ltd,,,,,,$330.78 M,,
-,,BSE,Base Resources Ltd,,,,,,$329.84 M,,
,,MHG,Magellan Global Equities Fund Currency Hedged (Managed Fund),,,,,,$329.54 M,,
,,SDG,Sunland Group Ltd,,,,,,$328.58 M,,
-,,PIA,Pengana International Equities Ltd,,,,,,$328.54 M,,
-,,AMH,Amcil Ltd,,,,,,$327.12 M,,
,,QOZ,Betashares Ftse Rafi Australia 200 ETF,,,,,,$325.53 M,,
,,VBND,Vanguard Global Aggregate Bond INDEX (Hedged) ETF,,,,,,$325.07 M,,
-,,ALI,Argo Global Listed Infrastructure Ltd,,,,,,$324.72 M,,
,,PPE,People Infrastructure Ltd,,,,,,$323.2 M,,
-,,LEG,Legend Mining Ltd,,,,,,$321.39 M,,
,,WAX,Wam Research Ltd,,,,,,$321.33 M,,
,,IHCB,Ishares Core Global Corporate Bond(Aud Hedged) ETF,,,,,,$320.39 M,,
-,,PAN,Panoramic Resources Ltd,,,,,,$317.89 M,,
,,HLO,Helloworld Travel Ltd,,,,,,$317.81 M,,
,,VGL,Vista Group International Ltd,,,,,,$316.63 M,,
,,MYD,Mydeal.com.Au Ltd,,,,,,$315.77 M,,
,,BBOZ,Betashares Australian Strong Bear (Hedge Fund),,,,,,$313.92 M,,
,,LKE,Lake Resources N.L.,,,,,,$312.36 M,,
,,TUA,Tuas Ltd,,,,,,$310.82 M,,
-,,PNR,Pantoro Ltd,,,,,,$309.85 M,,
,,MAU,Magnetic Resources NL,,,,,,$309.13 M,,
,,A4N,Alpha Hpa Ltd,,,,,,$308.11 M,,
,,RIC,Ridley Corporation Ltd,,,,,,$306.72 M,,
,,PAC,Pacific Current Group Ltd,,,,,,$306.43 M,,
,,QHAL,Vaneck Vectors MSCI World Ex Australia Quality (Hedged) ETF,,,,,,$305.91 M,,
,,SKT,Sky Network Television Ltd,,,,,,$305.6 M,,
,,TBR,Tribune Resources Ltd,,,,,,$303.79 M,,
,,CDP,Carindale Property Trust,,,,,,$301.7 M,,
-,,WBT,Weebit Nano Ltd,,,,,,$300.3 M,,
,,OFX,OFX Group Ltd,,,,,,$298.74 M,,
,,NEW,NEW Energy Solar,,,,,,$298.43 M,,
,,SST,Steamships Trading Company Ltd,,,,,,$297.68 M,,
,,PFP,Propel Funeral Partners Ltd,,,,,,$296.84 M,,
,,NWSLV,News Corporation,,,,,,$296.31 M,,
,,GEAR,Betashares Geared Australian Equity Fund (Hedge Fund),,,,,,$294.93 M,,
-,,CAJ,Capitol Health Ltd,,,,,,$292.82 M,,
-,,HPG,Hipages Group Holdings Ltd,,,,,,$292.5 M,,
,,MVF,Monash Ivf Group Ltd,,,,,,$292.23 M,,
,,RUL,Rpmglobal Holdings Ltd,,,,,,$292.2 M,,
,,EZL,EUROZ Ltd,,,,,,$291.32 M,,
,,RHP,Rhipe Ltd,,,,,,$289.94 M,,
,,CTT,Cettire Ltd,,,,,,$289.74 M,,
,,ALG,Ardent Leisure Group Ltd,,,,,,$287.82 M,,
,,PE1,Pengana Private Equity Trust,,,,,,$287.66 M,,
,,FUEL,Betashares Global Energy Companies ETF - Currency Hedged,,,,,,$287.02 M,,
-,,SVL,Silver Mines Ltd,,,,,,$286.54 M,,
,,TGG,Templeton Global Growth Fund Ltd,,,,,,$285.26 M,,
,,KSL,Kina Securities Ltd,,,,,,$284.36 M,,
,,YMAX,Betashares Aus Top 20 Equity Yield MAX Fund (Managed Fund),,,,,,$283.92 M,,
-,,TWR,Tower Ltd,,,,,,$282.5 M,,
,,CVW,Clearview Wealth Ltd,,,,,,$282.39 M,,
,,FLOT,Vaneck Vectors Australian Floating Rate ETF,,,,,,$281.92 M,,
,,HUO,Huon Aquaculture Group Ltd,,,,,,$281.27 M,,
,,WDIV,SPDR S&P Global Dividend Fund,,,,,,$281.03 M,,
,,TRS,The Reject Shop Ltd,,,,,,$280.95 M,,
,,ARU,Arafura Resources Ltd,,,,,,$280.76 M,,
,,IHD,Ishares S&P/ASX Dividend Opportunities ETF,,,,,,$278.44 M,,
,,WQG,WCM Global Growth Ltd,,,,,,$277.21 M,,
,,TECH,ETFs Morningstar Global Technology ETF,,,,,,$276.32 M,,
,,SRV,Servcorp Ltd,,,,,,$273.99 M,,
-,,IMR,"Imricor Medical Systems, Inc",,,,,,$271.34 M,,
,,IMM,Immutep Ltd,,,,,,$269.22 M,,
,,RARI,Russell Investments Australian Responsible Investment ETF,,,,,,$268.47 M,,
,,IHWL,Ishares Core MSCI World All Cap (Aud Hedged) ETF,,,,,,$268.34 M,,
-,,GGG,Greenland Minerals Ltd,,,,,,$268.2 M,,
,,RDV,Russell Investments High Dividend Australian Shares ETF,,,,,,$267.27 M,,
,,RHY,RHYTHM Biosciences Ltd,,,,,,$266.07 M,,
-,,ABA,Auswide Bank Ltd,,,,,,$264.84 M,,
,,GDF,Garda Property Group,,,,,,$264.07 M,,
,,CTM,Centaurus Metals Ltd,,,,,,$263.75 M,,
-,,CDM,Cadence Capital Ltd,,,,,,$262.96 M,,
,,IJR,Ishares S&P Small-Cap ETF,,,,,,$260.44 M,,
-,,PLUS,Vaneck Vectors Australian Corporate Bond Plus ETF,,,,,,$260 M,,
,,MHJ,Michael Hill International Ltd,,,,,,$259.95 M,,
,,RCB,Russell Investments Australian Select Corporate Bond ETF,,,,,,$259.19 M,,
,,MYR,Myer Holdings Ltd,,,,,,$258.7 M,,
,,FRI,Finbar Group Ltd,,,,,,$258.52 M,,
-,,GSS,Genetic Signatures Ltd,,,,,,$257.17 M,,
,,CYC,Cyclopharm Ltd,,,,,,$257.08 M,,
,,DTC,Damstra Holdings Ltd,,,,,,$256.87 M,,
,,SNL,Supply Network Ltd,,,,,,$256.44 M,,
,,CL1,Class Ltd,,,,,,$256.18 M,,
,,MME,Moneyme Ltd,,,,,,$255.45 M,,
,,CLQ,Clean TEQ Holdings Ltd,,,,,,$252.49 M,,
,,ILB,Ishares Government Inflation ETF,,,,,,$252.33 M,,
,,FMS,Flinders Mines Ltd,,,,,,$251.58 M,,
,,OOO,Betashares Crude Oil INDEX ETF-Currency Hedged (Synthetic),,,,,,$250.97 M,,
,,CXO,Core Lithium Ltd,,,,,,$250.61 M,,
,,4DS,4DS Memory Ltd,,,,,,$250.52 M,,
,,SFC,Schaffer Corporation Ltd,,,,,,$248.94 M,,
,,FWD,Fleetwood Ltd,,,,,,$248.83 M,,
-,,TRA,Turners Automotive Group Ltd,,,,,,$248.11 M,,
,,DCN,Dacian Gold Ltd,,,,,,$247.65 M,,
,,E25,Element 25 Ltd,,,,,,$245.37 M,,
,,VVA,Viva Leisure Ltd,,,,,,$243.41 M,,
,,NVA,Nova Minerals Ltd,,,,,,$242.14 M,,
,,GLL,Galilee Energy Ltd,,,,,,$242.11 M,,
,,NOX,Noxopharm Ltd,,,,,,$241.8 M,,
-,,AYS,Amaysim Australia Ltd,,,,,,$241.29 M,,
,,VEQ,Vanguard Ftse Europe Shares ETF,,,,,,$240.8 M,,
-,,HE8,Helios Energy Ltd,,,,,,$239.94 M,,
,,AGI,Ainsworth Game Technology Ltd,,,,,,$239.12 M,,
,,MYQ,Myfiziq Ltd,,,,,,$238.79 M,,
,,CXL,CALIX Ltd,,,,,,$237.9 M,,
,,WCMQ,WCM Quality Global Growth Fund (Quoted Managed Fund),,,,,,$237.34 M,,
,,HMY,Harmoney Corp Ltd,,,,,,$237.14 M,,
,,DOC,Doctor Care Anywhere Group Plc,,,,,,$236.33 M,,
,,EOF,Ecofibre Ltd,,,,,,$235.94 M,,
,,OBM,Ora Banda Mining Ltd,,,,,,$235.82 M,,
-,,HAS,Hastings Technology Metals Ltd,,,,,,$234.84 M,,
-,,LVT,Livetiles Ltd,,,,,,$234.6 M,,
,,WXOZ,SPDR S&P World Ex Australia Fund,,,,,,$234.57 M,,
,,EGG,Enero Group Ltd,,,,,,$233.97 M,,
-,,CVC,CVC Ltd,,,,,,$233.65 M,,
,,EWC,Energy World Corporation Ltd,,,,,,$233.43 M,,
,,CLV,Clover Corporation Ltd,,,,,,$232.83 M,,
,,ANO,Advance Nanotek Ltd,,,,,,$232.75 M,,
,,F100,Betashares Ftse 100 ETF,,,,,,$232.69 M,,
,,LYL,Lycopodium Ltd,,,,,,$232.48 M,,
,,LBY,Laybuy Group Holdings Ltd,,,,,,$232.03 M,,
-,,NTU,Northern Minerals Ltd,,,,,,$230.52 M,,
,,IRD,Iron Road Ltd,,,,,,$230.44 M,,
-,,IHL,Incannex Healthcare Ltd,,,,,,$229.24 M,,
,,GLB,Globe International Ltd,,,,,,$228.05 M,,
-,,BWRDB,Wotso Prop,,,,,,$227.98 M,,
,,OTW,Over the Wire Holdings Ltd,,,,,,$227.47 M,,
,,QVE,QV Equities Ltd,,,,,,$226.92 M,,
,,MNS,Magnis Energy Technologies Ltd,,,,,,$226.3 M,,
,,HZR,HAZER Group Ltd,,,,,,$226 M,,
-,,FLN,Freelancer Ltd,,,,,,$225.92 M,,
,,SFG,Seafarms Group Ltd,,,,,,$225.29 M,,
,,WZR,Wisr Ltd,,,,,,$224.75 M,,
,,NCZ,New Century Resources Ltd,,,,,,$223.84 M,,
-,,AVJ,Avjennings Ltd,,,,,,$221.4 M,,
,,ROBO,ETFs Robo Global Robotics and Automation ETF,,,,,,$220.86 M,,
,,VESG,Vanguard Ethically Conscious International Shares INDEX ETF,,,,,,$218.63 M,,
,,WGO,Warrego Energy Ltd,,,,,,$217.17 M,,
,,OPY,Openpay Group Ltd,,,,,,$217.06 M,,
,,HTG,Harvest Technology Group Ltd,,,,,,$216.2 M,,
-,,ST1,Spirit Technology Solutions Ltd,,,,,,$216.18 M,,
,,BOE,Boss Energy Ltd,,,,,,$211.71 M,,
,,KCN,Kingsgate Consolidated Ltd,,,,,,$211.52 M,,
,,DYL,Deep Yellow Ltd,,,,,,$211.03 M,,
,,CPH,Creso Pharma Ltd,,,,,,$210.21 M,,
,,MOAT,Vaneck Vectors Morningstar Wide Moat ETF,,,,,,$209.62 M,,
-,,ISEC,Ishares Enhanced Cash ETF,,,,,,$209.18 M,,
-,,AJM,Altura Mining Ltd,,,,,,$209.04 M,,
,,CAN,Cann Group Ltd,,,,,,$208.19 M,,
,,ALC,Alcidion Group Ltd,,,,,,$208.05 M,,
,,ECF,Elanor Commercial Property Fund,,,,,,$207.87 M,,
,,TGP,360 Capital Group,,,,,,$207.72 M,,
-,,HFR,Highfield Resources Ltd,,,,,,$207.65 M,,
,,SYI,SPDR MSCI Australia Select High Dividend Yield Fund,,,,,,$207.01 M,,
,,POS,Poseidon Nickel Ltd,,,,,,$205.09 M,,
,,NMT,Neometals Ltd,,,,,,$204.51 M,,
,,CEL,Challenger Exploration Ltd,,,,,,$204.4 M,,
,,AMS,Atomos Ltd,,,,,,$204.28 M,,
,,SMP,Smartpay Holdings Ltd,,,,,,$204.26 M,,
,,GNG,GR Engineering Services Ltd,,,,,,$204.03 M,,
,,BCI,BCI Minerals Ltd,,,,,,$203.45 M,,
,,PAXX,Platinum Asia Fund (Quoted Managed Hedge Fund),,,,,,$203.35 M,,
,,JHC,Japara Healthcare Ltd,,,,,,$203.11 M,,
,,SLX,SILEX Systems Ltd,,,,,,$203 M,,
,,SRG,SRG Global Ltd,,,,,,$202.84 M,,
,,SMR,Stanmore Coal Ltd,,,,,,$202.8 M,,
-,,KSC,K & S Corporation Ltd,,,,,,$202.19 M,,
,,MOC,Mortgage Choice Ltd,,,,,,$201.25 M,,
,,PCG,Pengana Capital Group Ltd,,,,,,$200.69 M,,
,,REX,Regional Express Holdings Ltd,,,,,,$199.93 M,,
-,,CYL,Catalyst Metals Ltd,,,,,,$199.54 M,,
,,IOU,Ioupay Ltd,,,,,,$198.21 M,,
-,,VCF,Vanguard International Credit Securities INDEX (Hedged) ETF,,,,,,$198.2 M,,
,,FID,Fiducian Group Ltd,,,,,,$198.09 M,,
,,NZK,New Zealand King Salmon Investments Ltd,,,,,,$197.36 M,,
,,ATEC,Betashares S&P/ASX Australian Technology ETF,,,,,,$195.88 M,,
,,WMA,Wam Alternative Assets Ltd,,,,,,$195.77 M,,
,,SLA,Silk Laser Australia Ltd,,,,,,$195.53 M,,
,,FANG,ETFs Fang+ ETF,,,,,,$195.09 M,,
,,RCE,Recce Pharmaceuticals Ltd,,,,,,$194.58 M,,
,,EMV,Emvision Medical Devices Ltd,,,,,,$193.18 M,,
,,ALF,Australian Leaders Fund Ltd,,,,,,$193.03 M,,
,,DGO,DGO Gold Ltd,,,,,,$192.71 M,,
,,ORR,Orecorp Ltd,,,,,,$191.97 M,,
,,FFX,Firefinch Ltd,,,,,,$191.57 M,,
-,,SDA,Speedcast International Ltd,,,,,,$189.4 M,,
,,SOR,Strategic Elements Ltd,,,,,,$189.19 M,,
,,ENN,Elanor Investors Group,,,,,,$188.72 M,,
,,PLT,Plenti Group Ltd,,,,,,$188.35 M,,
,,IPD,Impedimed Ltd,,,,,,$188.29 M,,
,,GVF,Global Value Fund Ltd,,,,,,$187.98 M,,
,,PM8,Pensana Rare EARTHS Plc,,,,,,$187.38 M,,
-,,FZO,Family ZONE Cyber Safety Ltd,,,,,,$186.92 M,,
,,YOJ,Yojee Ltd,,,,,,$186.74 M,,
-,,MGV,Musgrave Minerals Ltd,,,,,,$186.63 M,,
,,RDY,Readytech Holdings Ltd,,,,,,$186.61 M,,
-,,VTH,Vitalharvest Freehold Trust,,,,,,$185.93 M,,
,,TIE,Tietto Minerals Ltd,,,,,,$184.25 M,,
-,,BBUS,Betashares US Equities Strong Bear Currency Hedged (HF),,,,,,$183.38 M,,
,,MRC,Mineral Commodities Ltd,,,,,,$182.5 M,,
,,WDMF,Ishares Edge MSCI World Multifactor ETF,,,,,,$182.05 M,,
-,,EGN,Engenco Ltd,,,,,,$181.82 M,,
-,,PBP,Probiotec Ltd,,,,,,$181.25 M,,
,,FEMX,Fidelity Global Emerging Markets Fund (Managed Fund),,,,,,$181 M,,
-,,KLL,Kalium Lakes Ltd,,,,,,$180.42 M,,
,,AUT,Auteco Minerals Ltd,,,,,,$180.23 M,,
,,APD,Apn Property Group,,,,,,$179.34 M,,
,,MAD,Mader Group Ltd,,,,,,$179 M,,
,,SES,Secos Group Ltd,,,,,,$178.73 M,,
,,PPG,Pro-Pac Packaging Ltd,,,,,,$178.44 M,,
,,IGL,Ive Group Ltd,,,,,,$178.17 M,,
,,MVE,Vaneck Vectors S&P/ASX Midcap ETF,,,,,,$177.3 M,,
,,MML,Medusa Mining Ltd,,,,,,$176.69 M,,
,,PX1,Plexure Group Ltd,,,,,,$176.03 M,,
,,AXE,Archer Materials Ltd,,,,,,$174.87 M,,
,,BKY,Berkeley Energia Ltd,,,,,,$174.56 M,,
-,,PEK,Peak Resources Ltd,,,,,,$174.08 M,,
,,IMA,Image Resources NL,,,,,,$173.62 M,,
,,SVM,Sovereign Metals Ltd,,,,,,$173.46 M,,
,,CNEW,Vaneck Vectors China New Economy ETF,,,,,,$172.59 M,,
,,3PL,3P Learning Ltd,,,,,,$172.26 M,,
,,SVY,Stavely Minerals Ltd,,,,,,$172.23 M,,
,,AIS,Aeris Resources Ltd,,,,,,$170.73 M,,
,,EAI,Ellerston Asian Investments Ltd,,,,,,$170.73 M,,
,,ONT,1300 Smiles Ltd,,,,,,$170.48 M,,
,,MCP,Mcpherson's Ltd,,,,,,$170.13 M,,
,,CCV,Cash Converters International,,,,,,$169.52 M,,
,,EVS,Envirosuite Ltd,,,,,,$169.31 M,,
,,BNO,Bionomics Ltd,,,,,,$169.11 M,,
,,BID,Bill Identity Ltd,,,,,,$168.8 M,,
,,LCY,Legacy Iron Ore Ltd,,,,,,$168.68 M,,
,,CGS,Cogstate Ltd,,,,,,$168.54 M,,
,,IBX,Imagion Biosystems Ltd,,,,,,$167.89 M,,
,,RFG,Retail Food Group Ltd,,,,,,$167.49 M,,
,,EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,,,,,,$167.3 M,,
,,BOC,Bougainville Copper Ltd,,,,,,$166.44 M,,
,,IJH,Ishares S&P Mid-Cap ETF,,,,,,$166.05 M,,
,,BTI,Bailador Technology Investments Ltd,,,,,,$165.86 M,,
,,TGN,Tungsten Mining NL,,,,,,$165.15 M,,
-,,AVG,Australian Vintage Ltd,,,,,,$164.21 M,,
,,TGM,Theta Gold Mines Ltd,,,,,,$164.09 M,,
-,,VRX,VRX Silica Ltd,,,,,,$164.01 M,,
,,D2O,Duxton Water Ltd,,,,,,$163.85 M,,
,,NEU,Neuren Pharmaceuticals Ltd,,,,,,$163.32 M,,
,,DSK,Dusk Group Ltd,,,,,,$162.52 M,,
-,,EVO,Evolve Education Group Ltd,,,,,,$162.2 M,,
,,BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),,,,,,$161.34 M,,
,,BYE,Byron Energy Ltd,,,,,,$161.25 M,,
,,NZM,NZME Ltd,,,,,,$160.03 M,,
,,EMH,European Metals Holdings Ltd,,,,,,$159.87 M,,
,,WIC,Westoz Investment Company Ltd,,,,,,$159.78 M,,
,,COG,COG Financial Services Ltd,,,,,,$159.54 M,,
,,FGR,First Graphene Ltd,,,,,,$159.54 M,,
,,KZA,KAZIA Therapeutics Ltd,,,,,,$158.97 M,,
,,MLX,Metals X Ltd,,,,,,$158.77 M,,
,,GNP,Genusplus Group Ltd,,,,,,$157.85 M,,
,,HLA,Healthia Ltd,,,,,,$157.82 M,,
,,KGL,KGL Resources Ltd,,,,,,$157.8 M,,
,,BSX,Blackstone Minerals Ltd,,,,,,$157.7 M,,
,,OGC,Oceanagold Corporation,,,,,,$157.49 M,,
,,MX1,Micro-X Ltd,,,,,,$157.21 M,,
,,RMY,Rma Global Ltd,,,,,,$155.79 M,,
,,MTO,Motorcycle Holdings Ltd,,,,,,$154.88 M,,
,,5GN,5G Networks Ltd,,,,,,$154.75 M,,
-,,FOR,Forager Australian Shares Fund,,,,,,$154.75 M,,
,,WMX,Wiluna Mining Corporation Ltd,,,,,,$154.37 M,,
,,VDCO,Vanguard Diversified Conservative INDEX ETF,,,,,,$154.34 M,,
,,CAI,Calidus Resources Ltd,,,,,,$154.06 M,,
-,,SOM,Somnomed Ltd,,,,,,$153.93 M,,
-,,AIM,Access Innovation Holdings Ltd,,,,,,$153.49 M,,
,,BUD,Buddy Technologies Ltd,,,,,,$153.39 M,,
-,,PET,Phoslock Environmental Technologies Ltd,,,,,,$153.13 M,,
,,AGY,Argosy Minerals Ltd,,,,,,$152.93 M,,
,,AVA,AVA Risk Group Ltd,,,,,,$152.23 M,,
-,,WJA,Wameja Ltd,,,,,,$151.36 M,,
,,NWF,Newfield Resources Ltd,,,,,,$151.14 M,,
-,,SHJ,Shine Justice Ltd,,,,,,$150.74 M,,
,,ICQ,Icar Asia Ltd,,,,,,$150.55 M,,
,,AGH,Althea Group Holdings Ltd,,,,,,$149.55 M,,
,,TMH,The Market Herald Ltd,,,,,,$148.97 M,,
,,ERF,Elanor Retail Property Fund,,,,,,$147.4 M,,
,,PGL,Prospa Group Ltd,,,,,,$147.28 M,,
,,USD,Betashares U.S. Dollar ETF,,,,,,$147.22 M,,
-,,TEK,Thorney Technologies Ltd,,,,,,$146.53 M,,
-,,SYA,Sayona Mining Ltd,,,,,,$145.84 M,,
,,GNX,GENEX Power Ltd,,,,,,$145.78 M,,
-,,ATU,Atrum Coal Ltd,,,,,,$145.24 M,,
,,ZNO,ZOONO Group Ltd,,,,,,$145.24 M,,
,,QIP,QANTM Intellectual Property Ltd,,,,,,$145.14 M,,
,,SXE,Southern Cross Electrical Engineering Ltd,,,,,,$145.11 M,,
,,BMN,Bannerman Resources Ltd,,,,,,$145.11 M,,
,,MXC,MGC Pharmaceuticals Ltd,,,,,,$144.87 M,,
,,IWLD,Ishares Core MSCI World All Cap ETF,,,,,,$144.76 M,,
,,NXS,Next Science Ltd,,,,,,$144.41 M,,
,,FLC,Fluence Corporation Ltd,,,,,,$143.72 M,,
-,,IZZ,Ishares China Large-Cap ETF,,,,,,$143.68 M,,
-,,ORN,Orion Minerals Ltd,,,,,,$143.38 M,,
,,VMT,Vmoto Ltd,,,,,,$143.33 M,,
,,VTG,Vita Group Ltd,,,,,,$143.25 M,,
,,EP1,E&P Financial Group Ltd,,,,,,$143.13 M,,
-,,TTM,Titan Minerals Ltd,,,,,,$142.43 M,,
,,EOL,Energy One Ltd,,,,,,$142 M,,
-,,MIH,MNC Media Investment Ltd,,,,,,$141.09 M,,
,,SSG,Shaver Shop Group Ltd,,,,,,$141.05 M,,
,,A2B,A2B Australia Ltd,,,,,,$140.9 M,,
,,FYI,FYI Resources Ltd,,,,,,$140.22 M,,
,,SFX,Sheffield Resources Ltd,,,,,,$140.15 M,,
-,,FSA,FSA Group Ltd,,,,,,$139.77 M,,
,,MAI,Mainstream Group Holdings Ltd,,,,,,$139.47 M,,
,,GTK,Gentrack Group Ltd,,,,,,$139.09 M,,
-,,G1A,Galena Mining Ltd,,,,,,$138.86 M,,
